ANELE.IS,Anel Elektrik Proje Taahhut ve Ticaret Anonim Sirketi
FONET.IS,Fonet Bilgi Teknolojileri Anonim Sirketi
VBTYZ.IS,VBT Yazilim Anonim Sirketi
DURDO.IS,Duran Dogan Basim ve Ambalaj Sanayi A.S.
KNFRT.IS,Konfrut Gida Sanayi ve Ticaret A.S.
MNDRS.IS,Menderes Tekstil Sanayi ve Ticaret Anonim Sirketi
ORGE.IS,Orge Enerji Elektrik Taahhut Anonim Sirketi
KRONT.IS,Kron Telekomunikasyon Hizmetleri A.S.
FRIGO.IS,Frigo-Pak Gida Maddeleri Sanayi ve Ticaret A.S.
ITTFH.IS,Ittifak Holding A.S.
LUKSK.IS,Luks Kadife Ticaret ve Sanayi A.S.
RALYH.IS,Ral Yatirim Holding A.S.
DITAS.IS,Ditas Dogan Yedek Parca Imalat ve Teknik A.S.
ISYAT.IS,Is Yatirim Ortakligi A.S.
PAPIL.IS,Papilon Savunma-Guvenlik Sistemleri Bilisim Muhendislik Hizmetleri Ithalat Ihracat Sanayi ve Ticaret
EPLAS.IS,Egeplast Ege Plastik Ticaret ve Sanayi Anonim Sirketi
DMSAS.IS,Demisas Dokum Emaye Mamulleri Sanayi Anonim Sirketi
AVOD.IS,A.V.O.D. Kurutulmus Gida ve Tarim urunleri A.S.
YESIL.IS,Yesil Yatirim Holding Anonim Sirketi
IDEAS.IS,Idealist Danismanlik A.S.
CEOEM.IS,Ceo Event Medya A.S.
GEREL.IS,Gersan Elektrik Ticaret ve Sanayi Anonim Sirketi
DENGE.IS,Denge Yatirim Holding A.S.
TUCLK.IS,Tugcelik Aluminyum Ve Metal Mamulleri Sanayi Ve Ticaret A.S.
DESA.IS,Desa Deri Sanayi ve Ticaret A.S.
SKTAS.IS,Soktas Tekstil Sanayi Ve Ticaret A.S.
OZGYO.IS,Ozderici Gayrimenkul Yatirim Ortakligi A.S.
YAPRK.IS,Yaprak Sut ve Besi ciftlikleri Sanayi ve Ticaret A.S.
LKMNH.IS,Lokman Hekim Engurusag Saglik, Turizm, Egitim Hizmetleri ve Insaat Taahhut A.S.
USAK.IS,Usak Seramik Sanayi A.S.
PKART.IS,Plastikkart Akilli Kart Iletisim Sistemleri Sanayi ve Ticaret A.S.
METRO.IS,Metro Ticari ve Mali Yatirimlar Holding A.S.
ALMAD.IS,Altinyag Madencilik ve Enerji Yatirimlari Sanayi ve Ticaret A.S.
GEDZA.IS,Gediz Ambalaj Sanayi ve Ticaret A.S.
