FMIZP.IS,Federal-Mogul Izmit Piston Ve Pim uretim Tesisleri A.S.
DARDL.IS,Dardanel Onentas Gida Sanayi A.S.
CEMTS.IS,cemtas celik Makina Sanayi ve Ticaret A.S.
RYGYO.IS,Reysas Gayrimenkul Yatirim Ortakligi A.S.
AFYON.IS,Afyon cimento Sanayi Turk Anonim Sirketi
INDES.IS,Indeks Bilgisayar Sistemleri Muhendislik Sanayi ve Ticaret Anonim Sirketi
ALGYO.IS,Alarko Gayrimenkul Yatirim Ortakligi A.S.
AKSGY.IS,Akis Gayrimenkul Yatirim Ortakligi A.S.
TATGD.IS,Tat Gida Sanayi A.S.
BJKAS.IS,Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S.
HURGZ.IS,Hurriyet Gazetecilik ve Matbaacilik A.S.
AKENR.IS,Akenerji Elektrik uretim A.S.
KLGYO.IS,Kiler Gayrimenkul Yatirim Ortakligi A.S.
VERTU.IS,Verusaturk Girisim Sermayesi Yatirim Ortakligi A.S.
GLYHO.IS,Global Yatirim Holding A.S.
TKNSA.IS,Teknosa Ic ve Dis Ticaret Anonim Sirketi
RYSAS.IS,Reysas Tasimacilik ve Lojistik Ticaret A.S.
ARDYZ.IS,ARD Grup Bilisim Teknolojileri Anonim Sirketi
MEDTR.IS,Meditera Tibbi Malzeme Sanayi ve Ticaret Anonim Sirketi
BLCYT.IS,Bilici Yatirim Sanayi ve Ticaret A.S.
NATEN.IS,Naturel Yenilenebilir Enerji Ticaret A.S.
NETAS.IS,Netas Telekomunikasyon A.S.
HEDEF.IS,Hedef Holding A.S
GSDHO.IS,GSD Holding A.S.
BAGFS.IS,Bagfas Bandirma Gubre Fabrikalari A.S.
EGSER.IS,Ege Seramik Sanayi ve Ticaret A.S.
BRLSM.IS,Birlesim Muhendislik Isitma Sogutma Havalandirma Sanayi ve Ticaret Anonim Sirketi
GARFA.IS,Garanti Faktoring A.S.
SANKO.IS,Sanko Pazarlama Ithalat Ihracat Anonim Sirketi
ULUUN.IS,Ulusoy Un Sanayi ve Ticaret A.S.
TRCAS.IS,Turcas Petrol A.S.
DYOBY.IS,DYO Boya Fabrikalari Sanayi ve Ticaret A.S.
ALCTL.IS,Alcatel Lucent Teletas Telekomunikasyon A.S.
KATMR.IS,Katmerciler Arac ustu Ekipman Sanayi ve Ticaret A.S.
BSOKE.IS,Batisoke Soke cimento Sanayii T.A.S.
ARENA.IS,Arena Bilgisayar Sanayi ve Ticaret A.S.
CEMAS.IS,cemas Dokum Sanayi A.S.
RTALB.IS,RTA Laboratuvarlari Biyolojik Urunler Ilac ve Makine Sanayi Ticaret A.S.
BEYAZ.IS,Beyaz Filo Oto Kiralama A.S.
