DOAS.IS,Dogus Otomotiv Servis ve Ticaret A.S.
AKSEN.IS,Aksa Enerji uretim A.S.
PENTA.IS,Penta Teknoloji Urunleri Dagitim Ticaret A.S.
SOKM.IS,Sok Marketler Ticaret A.S.
OTKAR.IS,Otokar Otomotiv ve Savunma Sanayi A.S.
OYAKC.IS,OYAK cimento Fabrikalari A.S.
KRDMB.IS,Kardemir Karabuk Demir celik Sanayi Ve Ticaret A.S.
KRDMA.IS,Kardemir Karabuk Demir celik Sanayi Ve Ticaret A.S.
PRKAB.IS,Turk Prysmian Kablo ve Sistemleri Anonim Sirketi
KRDMD.IS,Kardemir Karabuk Demir celik Sanayi Ve Ticaret A.S.
EKGYO.IS,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.
AKSA.IS,Aksa Akrilik Kimya Sanayii A.S.
AGHOL.IS,AG Anadolu Grubu Holding A.S.
DOHOL.IS,Dogan Sirketler Grubu Holding A.S.
BRISA.IS,Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret A.S.
MGROS.IS,Migros Ticaret A.S.
KOZAA.IS,Koza Anadolu Metal Madencilik Isletmeleri A.S.
ULKER.IS,ulker Biskuvi Sanayi A.S.
ISMEN.IS,Is Yatirim Menkul Degerler Anonim Sirketi
AYGAZ.IS,Aygaz A.S.
TKFEN.IS,Tekfen Holding Anonim Sirketi
NUHCM.IS,Nuh cimento Sanayi A.S.
MPARK.IS,MLP Saglik Hizmetleri A.S.
SELEC.IS,Selcuk Ecza Deposu Ticaret ve Sanayi A.S.
TURSG.IS,Turkiye Sigorta Anonim Sirketi
KORDS.IS,Kordsa Teknik Tekstil A.S.
JANTS.IS,Jantsa Jant Sanayi ve Ticaret A.S.
AKFGY.IS,Akfen Gayrimenkul Yatirim Ortakligi A.S.
CRFSA.IS,CarrefourSA Carrefour Sabanci Ticaret Merkezi A.S.
SARKY.IS,Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret A.S.
DEVA.IS,Deva Holding A.S.
ICBCT.IS,ICBC Turkey Bank A.S.
AYDEM.IS,Aydem Yenilenebilir Enerji A.S.
ALARK.IS,Alarko Holding A.S.
