KRGYO.IS,Korfez Gayrimenkul Yatirim Ortakligi A.S.
SANFM.IS,Sanifoam Sunger Sanayi ve Ticaret A.S.
TEKTU.IS,Tek-Art Insaat Ticaret Turizm Sanayi ve Yatirimlar Anonim Sirketi
NIBAS.IS,Nigbas Nigde Beton Sanayi Ve Ticaret A.S.
DGATE.IS,Datagate Bilgisayar Malzemeleri Ticaret Anonim Sriketi
KFEIN.IS,Kafein Yazilim Hizmetleri Ticaret A.S.
BNTAS.IS,Bantas Bandirma Ambalaj Sanayi ve Ticaret A.S.
CRDFA.IS,Creditwest Faktoring Anonim Sirketi
ADESE.IS,Adese Gayrimenkul Yatirim A.S.
PINSU.IS,Pinar Su ve Icecek Sanayi ve Ticaret A.S.
YUNSA.IS,Yunsa Yunlu Sanayi ve Ticaret A.S.
DAGI.IS,Dagi Giyim Sanayi ve Ticaret A.S.
HATEK.IS,Hateks Hatay Tekstil Isletmeleri A.S.
GLRYH.IS,Guler Yatirim Holding A.S.
MERKO.IS,Merko Gida Sanayi ve Ticaret A.S.
FORMT.IS,Formet Celik Kapi Sanayi ve Ticaret A.S.
IZTAR.IS,Iz Hayvancilik Tarim ve Gida Sanayi Ticaret A.S.
LINK.IS,Link Bilgisayar Sistemleri Yazilimi ve Donanimi Sanayi ve Ticaret A.S.
BMSCH.IS,Bms Celik Hasir Sanayi Ve Ticaret Anonim Sirketi
VKING.IS,Viking Kagit ve Seluloz A.S.
HUBVC.IS,Hub Girisim Sermayesi Yatirim Ortakligi A.S.
KUYAS.IS,Kuyumcukent Gayrimenkul Yatirimlari A.S.
KRTEK.IS,Karsu Tekstil Sanayii ve Ticaret A.S.
CELHA.IS,celik Halat ve Tel Sanayii A.S.
LIDFA.IS,Lider Faktoring A.S.
OSTIM.IS,Ostim Endustriyel Yatirimlar ve Isletme A.S.
OYLUM.IS,Oylum Sinai Yatirimlar Anonim Sirketi
SEKUR.IS,Sekuro Plastik Ambalaj Sanayi A.S.
EDIP.IS,Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S.
KRSTL.IS,Kristal Kola ve Mesrubat Sanayi Ticaret A.S.
SAFKR.IS,Safkar Ege Sogutmacilik Klima Soguk Hava Tesisleri Ihracat Ithalat Sanayi ve Ticaret A.S.
YYAPI.IS,Yesil Yapi Endustrisi A.S.
